[2012/8/29 - 16:26:39] AdmWarn: Abdo has given Abdo $1410065407.
[2012/10/7 - 22:3:46] AdmWarn: Roland has given Jeffrey Loc $10000000.
[2012/10/8 - 23:14:14] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:17] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:17] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:18] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:18] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:22] AdmWarn: gmodder110 has given gmodder110 $100000.
[2012/10/8 - 23:15:30] AdmWarn: Roland has given Alan Diesel $10000000.
[2012/10/13 - 0:9:49] AdmWarn: NouieMan has given NouieMan $1.
[2012/10/13 - 0:14:33] AdmWarn: NouieMan has given NouieMan $1.
[2012/10/13 - 0:27:42] AdmWarn: NouieMan has given NouieMan $900000.
[2012/10/13 - 0:29:39] AdmWarn: gmodder110 has given William Martinez $100000.
[2012/10/13 - 0:34:19] AdmWarn: gmodder110 has given William Martinez $10000.
[2012/10/13 - 0:34:21] AdmWarn: gmodder110 has given William Martinez $1000000.
[2012/11/18 - 17:25:45] AdmWarn: Alek Yevtushenko has given Alek Yevtushenko $500000.
[2012/12/27 - 0:57:38] AdmWarn: Sami Aniello has given Sami Aniello $35555.
[2012/12/28 - 14:32:5] AdmWarn: Rivers Konkiy has given Roman Tabanov $200000.
[2012/12/28 - 14:32:9] AdmWarn: Rivers Konkiy has given Vladislav Ikarnov $200000.
[2012/12/29 - 13:10:26] AdmWarn: Alek Yevtushenko has given Alek Yevtushenko $1000000.
[2012/12/29 - 13:14:2] AdmWarn: Alek Yevtushenko has given Katya Yevtushenko $500000.
[2013/1/29 - 17:11:24] AdmWarn: Justin Case has given Nikita Greco $69.
[2013/1/29 - 17:43:36] AdmWarn: Alexander Greco has given Nikita Greco $2000000.
[2013/1/29 - 17:45:52] AdmWarn: Justin Case has given Justin Case $10000000.
[2013/2/3 - 20:14:9] AdmWarn: Danny Kovalchuk has given Danny Kovalchuk $27473753.
[2013/2/20 - 16:46:20] AdmWarn: Alexander Greco has given Vinny Alo $50000000.
[2013/3/9 - 18:36:8] AdmWarn: Billy Gonzales has given Billy Gonzales $10000.
[2013/3/23 - 10:57:8] AdmWarn: Billy Gonzales has given Billy Gonzales $100000.
[2013/3/23 - 10:57:14] AdmWarn: Billy Gonzales has given Billy Gonzales $10000000.
[2013/3/23 - 14:42:54] AdmWarn: Billy Gonzales has given Jack Cromsby $10000.
[2013/3/23 - 14:54:18] AdmWarn: Rasmus Jensen has given Rasmus Jensen $999999999.
[2017/6/23 - 1:13:49] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $50000.
[2017/6/23 - 1:24:59] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $1000.
[2017/6/23 - 1:25:5] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $802.
[2017/6/23 - 1:27:56] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $50000.
[2017/6/25 - 1:44:14] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $500000.
[2017/6/25 - 1:44:15] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $5000000.
[2017/7/9 - 21:56:9] AdmWarn: Oscar Pinto has given Oscar Pinto $5000000.
[2017/7/9 - 23:48:21] AdmWarn: Pedro Teves has given Pedro Teves $1555555.
[2017/7/9 - 23:53:25] AdmWarn: Pedro Teves has given Pedro Teves $1555555.
[2017/7/10 - 21:56:0] AdmWarn: Oscar Pinto has given Sofia Robles $1500000.
[2017/8/1 - 21:5:17] AdmWarn: El Estado has given El Estado $150000000.
[2017/8/5 - 14:10:13] AdmWarn: Jhon Mustang has given Daniel Becerra $50000.
[2017/8/6 - 4:54:22] AdmWarn: Jhon Mustang has given Vinnie Paz $20000.
[2017/8/6 - 23:9:59] AdmWarn: Jhon Mustang has given Vinnie Paz $20000.
[2017/8/7 - 0:58:57] AdmWarn: Bot Admin has given Vinnie Paz $20000.
[2017/8/7 - 6:51:49] AdmWarn: Oscar Pinto has given Miguel Salvatore $400000.
[2017/9/19 - 20:51:55] Administración: Miguel Salvatore has given Miguel Salvatore $50000.
[2017/9/19 - 20:52:18] Administración: Miguel Salvatore has given Miguel Salvatore $50000.
[2017/9/20 - 21:56:47] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000.
[2017/9/24 - 17:22:31] Administración: Miguel Salvatore ha dado a Miguel Salvatore $100000.
[2017/9/24 - 17:24:34] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/9/27 - 0:27:36] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000000.
[2017/9/28 - 13:10:24] Administración: Miguel Salvatore ha dado a Miguel Salvatore $100000.
[2017/9/28 - 13:10:27] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/9/28 - 13:52:39] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/9/30 - 16:17:58] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/9/30 - 17:13:45] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/9/30 - 17:14:49] Administración: Miguel Salvatore ha dado a Miguel Salvatore $300000.
[2017/10/3 - 19:19:45] Administración: Miguel Salvatore ha dado a Miguel Salvatore $100.
[2017/10/3 - 19:19:47] Administración: Miguel Salvatore ha dado a Miguel Salvatore $10000.
[2017/10/3 - 19:19:48] Administración: Miguel Salvatore ha dado a Miguel Salvatore $100000.
[2017/10/3 - 19:19:49] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/10/4 - 15:44:0] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/10/6 - 13:15:35] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2017/10/13 - 14:16:6] Administración: Miguel Salvatore ha dado a Miguel Salvatore $10000000.
[2017/11/1 - 18:48:41] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1410065408.
[2018/4/2 - 20:55:0] Administración: Oscar Pinto ha dado a Antonio Mzienski $500000.
[2018/4/2 - 20:57:20] Administración: Oscar Pinto ha dado a Kevin Chacon $500000.
[2018/4/5 - 4:23:52] Administración: Miguel Salvatore ha dado a Miguel Salvatore $300000.
[2018/4/5 - 5:14:21] Administración: Oscar Pinto ha dado a Oscar Pinto $500000.
[2018/4/7 - 2:38:49] Administración: Victoria Robles ha dado a Victoria Robles $10.
[2018/4/7 - 2:39:2] Administración: Victoria Robles ha dado a Victoria Robles $25000.
[2018/4/7 - 2:39:12] Administración: Victoria Robles ha dado a Victoria Robles $100000.
[2018/4/7 - 2:39:31] Administración: Victoria Robles ha dado a Victoria Robles $500000.
[2018/4/7 - 3:22:22] Administración: Victoria Robles ha dado a Darwin Chacon $25000.
[2018/4/7 - 3:23:3] Administración: Victoria Robles ha dado a Darwin Chacon $20000.
[2018/4/7 - 3:24:32] Administración: Victoria Robles ha dado a Elian Rodriguez $15000.
[2018/4/7 - 17:14:14] Administración: Oscar Pinto ha dado a Oscar Pinto $500000000.
[2018/4/7 - 18:51:16] Administración: Oscar Pinto ha dado a Alsakarim Khalid $1000.
[2018/4/7 - 21:19:38] Administración: Oscar Pinto ha dado a Alsakarim Khalid $20000.
[2018/4/7 - 22:2:33] Administración: Oscar Pinto ha dado a Nicolas Jackson $10000.
[2018/4/7 - 22:2:42] Administración: Oscar Pinto ha dado a Ali Mohammed $10000.
[2018/4/8 - 2:7:58] Administración: Oscar Pinto ha dado a Darwin Chacon $20000.
[2018/4/8 - 2:10:30] Administración: Oscar Pinto ha dado a Elias Chacon $20000.
[2018/4/8 - 16:59:33] Administración: Victoria Robles ha dado a Victoria Robles $500000.
[2018/4/8 - 17:35:49] Administración: Victoria Robles ha dado a Victoria Robles $42000.
[2018/4/8 - 17:50:46] Administración: Victoria Robles ha dado a Alsakarim Khalid $1000000.
[2018/4/8 - 18:44:29] Administración: Oscar Pinto ha dado a Igor Spopovich $300000.
[2018/4/8 - 22:44:18] Administración: Miguel Salvatore ha dado a Nick Vasquez $20000.
[2018/4/9 - 2:22:36] Administración: Victoria Robles ha dado a Alsakarim Khalid $10000.
[2018/4/9 - 4:14:18] Administración: Oscar Pinto ha dado a Darwin Chacon $5000.
[2018/4/9 - 4:50:42] Administración: Miguel Salvatore ha dado a Frenddys Martinez $1916392.
[2018/4/9 - 4:50:57] Administración: Miguel Salvatore ha dado a Frenddys Martinez $20000.
[2018/4/9 - 13:18:38] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:41] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:41] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:42] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:42] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:42] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:43] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:43] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:43] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:44] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 13:18:44] Administración: Oscar Pinto ha dado a Oscar Pinto $-500000.
[2018/4/9 - 23:57:48] Administración: Oscar Pinto ha dado a Darwin Chacon $100000.
[2018/4/10 - 0:46:0] Administración: Oscar Pinto ha dado a Ali Mohammed $16500.
[2018/4/10 - 21:34:26] Administración: Oscar Pinto ha dado a Stefano Priciani $20000.
