[2012/10/13 - 22:25:55] AdmWarn: NouieMan has created mapicon ID 0.
[2012/10/13 - 22:26:16] AdmWarn: NouieMan has deleted mapicon ID 0.
[2012/11/18 - 8:21:3] AdmWarn: Josh has created mapicon ID 0.
[2012/11/18 - 8:21:20] AdmWarn: Josh has deleted mapicon ID 0.
[2012/11/18 - 8:40:13] AdmWarn: Josh has created mapicon ID 0.
[2012/11/18 - 8:40:24] AdmWarn: Josh has deleted mapicon ID 0.
[2012/11/18 - 8:40:28] AdmWarn: Josh has created mapicon ID 0.
[2012/11/18 - 8:40:37] AdmWarn: Josh has deleted mapicon ID 0.
[2012/11/18 - 8:40:45] AdmWarn: Josh has created mapicon ID 0.
[2012/11/18 - 17:9:27] AdmWarn: Alek Yevtushenko has created mapicon ID 0.
[2012/11/19 - 11:37:16] AdmWarn: Josh Cave has created mapicon ID 1.
[2012/11/19 - 11:37:40] AdmWarn: Josh Cave has deleted mapicon ID 1.
[2012/11/19 - 11:37:48] AdmWarn: Josh Cave has created mapicon ID 1.
[2012/11/19 - 11:44:1] AdmWarn: Josh Cave has created mapicon ID 2.
[2012/11/19 - 11:44:11] AdmWarn: Josh Cave has deleted mapicon ID 2.
[2012/11/19 - 11:44:19] AdmWarn: Josh Cave has created mapicon ID 2.
[2012/12/23 - 6:53:55] AdmWarn: Josh Cave has created mapicon ID 3.
[2012/12/23 - 6:54:1] AdmWarn: Josh Cave has deleted mapicon ID 3.
[2012/12/23 - 6:54:5] AdmWarn: Josh Cave has created mapicon ID 3.
[2012/12/23 - 6:54:12] AdmWarn: Josh Cave has deleted mapicon ID 3.
[2012/12/23 - 6:54:32] AdmWarn: Josh Cave has created mapicon ID 3.
[2012/12/23 - 6:54:52] AdmWarn: Josh Cave has deleted mapicon ID 3.
[2012/12/28 - 16:21:25] AdmWarn: Alek Yevtushenko has created mapicon ID 3.
[2012/12/28 - 16:22:4] AdmWarn: Alek Yevtushenko has deleted mapicon ID 3.
[2017/7/10 - 21:20:54] AdmWarn: Oscar Pinto has created mapicon ID 0.
[2017/7/10 - 21:23:56] AdmWarn: Oscar Pinto has created mapicon ID 1.
[2017/7/10 - 21:24:32] AdmWarn: Oscar Pinto has created mapicon ID 2.
[2017/7/10 - 21:25:39] AdmWarn: Oscar Pinto has created mapicon ID 3.
[2017/7/10 - 21:27:9] AdmWarn: Oscar Pinto has created mapicon ID 4.
[2017/7/10 - 21:27:41] AdmWarn: Oscar Pinto has created mapicon ID 5.
[2017/7/11 - 0:51:22] AdmWarn: Oscar Pinto has created mapicon ID 6.
[2017/7/12 - 19:46:48] AdmWarn: Oscar Pinto has created mapicon ID 7.
[2017/7/12 - 19:47:36] AdmWarn: Oscar Pinto has created mapicon ID 8.
[2017/7/12 - 19:47:57] AdmWarn: Oscar Pinto has created mapicon ID 9.
[2017/7/12 - 19:48:38] AdmWarn: Oscar Pinto has created mapicon ID 10.
[2017/7/12 - 19:52:41] AdmWarn: Victoria Robles has created mapicon ID 11.
[2017/7/12 - 19:52:49] AdmWarn: Oscar Pinto has created mapicon ID 12.
[2017/7/12 - 19:53:21] AdmWarn: Victoria Robles has deleted mapicon ID 11.
[2017/7/12 - 19:53:29] AdmWarn: Victoria Robles has created mapicon ID 11.
[2017/7/12 - 19:55:8] AdmWarn: Victoria Robles has created mapicon ID 13.
[2017/7/12 - 19:56:48] AdmWarn: Oscar Pinto has created mapicon ID 14.
[2017/7/12 - 19:56:53] AdmWarn: Victoria Robles has created mapicon ID 15.
[2017/7/13 - 21:51:39] AdmWarn: Victoria Robles has created mapicon ID 10.
[2017/7/13 - 21:52:40] AdmWarn: Victoria Robles has created mapicon ID 11.
[2017/7/13 - 21:53:23] AdmWarn: Victoria Robles has created mapicon ID 12.
[2017/7/13 - 21:54:34] AdmWarn: Victoria Robles has created mapicon ID 13.
[2017/7/13 - 21:55:54] AdmWarn: Victoria Robles has created mapicon ID 14.
[2017/7/13 - 22:4:44] AdmWarn: Victoria Robles has created mapicon ID 15.
[2017/7/13 - 22:5:39] AdmWarn: Victoria Robles has created mapicon ID 16.
[2017/7/13 - 22:6:4] AdmWarn: Victoria Robles has deleted mapicon ID 16.
[2017/7/13 - 22:6:10] AdmWarn: Victoria Robles has created mapicon ID 16.
[2017/7/13 - 22:7:54] AdmWarn: Victoria Robles has created mapicon ID 17.
[2017/7/13 - 22:11:45] AdmWarn: Victoria Robles has created mapicon ID 18.
[2017/7/13 - 22:12:36] AdmWarn: Victoria Robles has created mapicon ID 19.
[2017/7/13 - 22:32:49] AdmWarn: Victoria Robles has created mapicon ID 20.
[2017/7/13 - 23:28:5] AdmWarn: Bot Admin has created mapicon ID 21.
[2017/7/13 - 23:29:36] AdmWarn: Bot Admin has deleted mapicon ID 19.
[2017/7/13 - 23:29:52] AdmWarn: Bot Admin has deleted mapicon ID 21.
[2017/7/13 - 23:30:3] AdmWarn: Bot Admin has created mapicon ID 19.
[2017/7/13 - 23:31:12] AdmWarn: Bot Admin has created mapicon ID 21.
[2017/7/13 - 23:31:35] AdmWarn: Bot Admin has deleted mapicon ID 1.
[2017/7/13 - 23:32:17] AdmWarn: Bot Admin has created mapicon ID 1.
[2017/7/13 - 23:39:58] AdmWarn: Bot Admin has created mapicon ID 22.
[2017/7/13 - 23:41:47] AdmWarn: Bot Admin has created mapicon ID 23.
[2017/7/13 - 23:42:23] AdmWarn: Bot Admin has created mapicon ID 24.
[2017/7/13 - 23:42:30] AdmWarn: Bot Admin has deleted mapicon ID 24.
[2017/7/13 - 23:43:24] AdmWarn: Bot Admin has created mapicon ID 23.
[2017/7/14 - 0:6:29] AdmWarn: Bot Admin has created mapicon ID 23.
[2017/7/14 - 0:7:13] AdmWarn: Bot Admin has created mapicon ID 24.
[2017/7/14 - 0:7:35] AdmWarn: Bot Admin has created mapicon ID 25.
[2017/7/14 - 0:7:41] AdmWarn: Bot Admin has deleted mapicon ID 25.
[2017/7/14 - 0:7:51] AdmWarn: Bot Admin has created mapicon ID 25.
[2017/7/14 - 0:12:18] AdmWarn: Bot Admin has created mapicon ID 26.
[2017/7/14 - 0:14:47] AdmWarn: Bot Admin has created mapicon ID 27.
